country,happiness,gdp,family,liefeexpectancy,trust
Slovakia,6.280600070953369,10.347749710083008,1.4243311882019043,0.8534652590751648,0.01129144057631492
Uzbekistan,6.257599830627441,8.7403717041015625,1.4340200424194336,0.7167037129402161,0.28026026487350464
Chile,6.228499889373779,10.032054901123049,1.3232868909835815,0.8892608284950256,0.06284935027360916
Bahrain,6.22730016708374,10.676380157470703,1.3153237104415894,0.8388363718986511,0.12669725716114044
Lithuania,6.2154998779296875,10.343626022338867,1.4328657388687134,0.7954211831092834,0.08135027438402176
Trinidad and Tobago,6.19189977645874,10.260002136230469,1.4073262214660645,0.6588285565376282,0.01507839560508728
Poland,6.186299800872803,10.265124320983888,1.3103997707366943,0.8680384755134583,0.16054125130176544
Colombia,6.163400173187256,9.50036907196045,1.3344509601593018,0.8100201487541199,0.04584836959838867
Cyprus,6.158999919891357,10.405702590942385,1.1491707563400269,1.0261245965957642,0.05120714381337166
Nicaragua,6.1371002197265625,8.493160247802734,1.270812749862671,0.8030932545661926,0.17408457398414612
Romania,6.123700141906738,10.107583999633787,1.194438099861145,0.7922948598861694,8.295688312500715e-4
Kuwait,6.102099895477295,11.089824676513672,1.2447798252105713,0.7764689326286316,0.11281493306159972
Mauritius,6.10129976272583,9.956786155700684,1.3956668376922607,0.7633894085884094,0.08408822864294052
Kazakhstan,6.0578999519348145,10.11465835571289,1.4532676935195925,0.6987889409065247,0.1104636862874031
Estonia,6.0218000411987305,10.340017318725586,1.4532325267791748,0.842615008354187,0.20176681876182556
Philippines,6.00600004196167,8.9935455322265625,1.2453817129135132,0.6021894812583923,0.13038572669029236
Hungary,6.000400066375732,10.24924373626709,1.4230093955993652,0.8067938685417175,0.02754817344248295
Thailand,5.998799800872803,9.741791725158691,1.3475195169448853,0.7938558459281921,0.03183786198496818
Argentina,5.974699974060059,9.810955047607422,1.3725436925888062,0.8497737050056458,0.06041505932807922
Honduras,5.953199863433838,8.424534797668457,1.18666410446167,0.7919899821281433,0.08680710196495056
Latvia,5.949999809265137,10.17531967163086,1.4143987894058228,0.7779024243354797,0.09039152413606644
Ecuador,5.92519998550415,9.246058464050291,1.2210276126861572,0.838837742805481,0.08675338327884674
Portugal,5.910900115966797,10.263742446899414,1.339530348777771,0.9793152809143066,0.02773346565663814
Jamaica,5.889800071716309,9.006250381469727,1.4082891941070557,0.7884340882301331,0.03014778532087803
South Korea,5.872399806976318,10.51056671142578,1.1335605382919312,1.0225425958633425,0.0945962816476822
Japan,5.870800018310547,10.579689025878906,1.3323386907577517,1.0728813409805298,0.18143963813781736
Peru,5.796800136566162,9.456313133239746,1.2084059715270996,0.8244441747665405,0.02703266032040119
Serbia,5.778200149536133,9.680980682373049,1.3274489641189575,0.8284032940864563,0.05944714695215225
Bolivia,5.747499942779541,8.851115226745605,1.1423505544662476,0.6624456644058228,0.07294263690710068
Pakistan,5.693299770355225,8.48272705078125,0.8729795813560486,0.46993324160575867,0.12259212136268616
